concept,text,pleasant,attention,sensitivity,aptitude,polarity
32_teeth,32 teeth,0.965,0.775,0,0.968,0.903
a_little,a little,-0.99,0,0,-0.709,-0.566
a_lot,a lot,0.277,0.161,0,0.337,0.258
a_lot_of_books,a lot of books,0,0.076,0,0.066,0.047
a_lot_of_energy,a lot of energy,0,0,0,0.766,0.255
a_lot_of_fat,a lot of fat,0.038,0,0.05,0.092,0.027
a_lot_of_flowers,a lot of flowers,0.027,0.093,0.025,0.071,0.055
a_lot_of_food,a lot of food,0.043,-0.055,0,0,0.033
a_lot_of_fun,a lot of fun,0.814,0,0,0.856,0.557
a_lot_of_information,a lot of information,0,0.219,-0.05,0.144,0.104
a_lot_of_money,a lot of money,0,0.131,0,0,0.044
a_lot_of_noise,a lot of noise,0,0,0.896,-0.962,-0.619
a_lot_of_people,a lot of people,0.08,-0.028,0,0,0.036
a_lot_of_practice,a lot of practice,0.808,0,0,0.943,0.584
a_lot_of_sex,a lot of sex,0.791,0.934,0,0.85,0.858
a_lot_of_space,a lot of space,0.046,-0.66,0,0.365,0.357
a_lot_of_stress,a lot of stress,-0.184,-0.016,-0.104,-0.163,-0.145
a_lot_of_study,a lot of study,-0.074,-0.005,0.013,-0.111,-0.064
a_lot_of_time,a lot of time,0.918,0.988,0,0,0.635
a_lot_of_work,a lot of work,-0.053,0.141,0.031,0.079,0.045
aah,aah,-0.786,0,0.701,-0.782,-0.756
abandon,abandon,-0.99,0,0,-0.709,-0.566
abandoned_person,abandoned person,-0.676,0,0.838,-0.86,-0.791
abandonment,abandonment,-0.521,0.391,-0.243,-0.149,-0.174
abase,abase,-0.486,0.402,-0.214,-0.161,-0.153
abash,abash,-0.521,0.391,-0.243,-0.149,-0.174
abashed,abashed,-0.52,0.392,-0.24,-0.153,-0.174
abashment,abashment,-0.542,0.383,-0.26,-0.14,-0.186
abate,abate,-0.927,0,0.757,-0.905,-0.863
abatement,abatement,-0.883,0,0.727,-0.821,-0.81
abbreviate,abbreviate,-0.046,0.127,-0.121,0.223,0.061
abc,abc,0.03,-0.009,0,0.089,0.043
abdicate,abdicate,-0.783,0,0.801,-0.87,-0.818
abdomen,abdomen,0.902,0.772,0,0,0.558
abdominal_pregnancy,abdominal pregnancy,-0.981,0,0.862,-0.692,-0.845
abdominoplasty,abdominoplasty,0.738,-0.78,0,0.757,0.758
abduction,abduction,-0.127,0.16,-0.24,-0.056,-0.088
abductor,abductor,0.934,-0.62,0,0.79,0.781
abductor_muscle,abductor muscle,0.934,-0.62,0,0.79,0.781
aberrance,aberrance,-0.859,0,0.936,-0.807,-0.867
aberrancy,aberrancy,-0.555,0,0.911,-0.987,-0.818
aberrant,aberrant,-0.881,0,0.882,-0.586,-0.783
abetalipoproteinemia,abetalipoproteinemia,-0.728,0,0.76,-0.709,-0.732
abhor,abhor,-0.063,0.183,0.651,-0.642,-0.391
abhorrence,abhorrence,-0.063,0.183,0.651,-0.642,-0.391
abhorrent,abhorrent,-0.062,0.123,0.712,-0.678,-0.443
abidance,abidance,0.614,-0.953,0,0.768,0.778
abide,abide,0.038,0,0,0.097,0.045
abide_by,abide by,0.731,-0.592,0,0.634,0.652
abience,abience,-0.637,0,0.677,-0.948,-0.754
ability,ability,0,0.273,-0.162,0.277,0.129
ability_communicate,ability communicate,-0.104,0.136,-0.05,0.091,0.024
ability_hear,ability hear,0.708,0,0,0,0.236
ability_read,ability read,-0.055,0.077,0,0.058,0.027
ability_see,ability see,0.837,0,0,0,0.279
abject,abject,-0.465,0.398,-0.173,-0.192,-0.144
abjection,abjection,-0.566,0,0.512,-0.506,-0.528
abjectly,abjectly,-0.465,0.398,-0.173,-0.192,-0.144
abjure,abjure,-0.97,0,0.616,-0.589,-0.725
ablate,ablate,-0.976,0,0.54,-0.553,-0.69
ablation,ablation,-0.619,0,0.573,-0.844,-0.679
ablaze,ablaze,0.641,-0.733,0,0.798,0.724
able,able,0.982,-0.67,0,0.682,0.778
able_eat,able eat,0.258,-0.009,0.104,0.104,0.089
able_hear,able hear,0.037,-0.134,0.059,0,0.037
able_read,able read,0.972,0.895,0,0.727,0.865
able_run,able run,0.731,0.729,0,0.866,0.775
able_see,able see,0.071,0.111,0,0.078,0.087
able_use,able use,0.84,0.813,0,0.915,0.856
ablepharia,ablepharia,-0.765,0,0.728,-0.759,-0.751
abnegate,abnegate,-0.887,0,0.938,-0.995,-0.94
abnormal,abnormal,-0.583,0,0.814,-0.54,-0.646
abolish,abolish,0.046,-0.66,0,0.365,0.357
abominable_snowman,abominable snowman,0.849,-0.503,0,0.845,0.732
abominably,abominably,-0.062,0.123,0.712,-0.678,-0.443
abominate,abominate,-0.063,0.183,0.651,-0.642,-0.391
abomination,abomination,-0.063,0.183,0.651,-0.642,-0.391
abominator,abominator,-0.559,0,0.689,-0.806,-0.685
aboriginal,aboriginal,0.066,0.12,-0.104,0.121,0.068
abortion,abortion,-0.847,-0.769,0.732,0,-0.27
abortive,abortive,-0.705,0,0.919,-0.732,-0.785
